'CODPRO','REFPRO','NOMPRO','PERAVI','PERPRA','DATCAD','DATEXP','INATIV'
4,'PADRAO','PADRAO PADRAO REF:PADRAO PADRAO','100,00','100,00','02/12/2010 13:54:43','07/02/2013 01:15:08','N'
5,88651,'BRINQ.MUS. RUN RUN HAMSTER REF:88651','14,71','14,71','06/12/2010 14:57:59','07/02/2013 01:15:08','N'
7,88643,'BRINQ.MUS. RUN RUN PARK REF:88643','90,36','118,98','07/12/2010 15:00:37','07/02/2013 01:15:08','N'
8,88642,'BRINQ.MUS. RUN RUN PARK REF:88642','77,59','104,31','07/12/2010 15:02:58','07/02/2013 01:15:08','N'
9,88641,'BRINQ.MUSICAL RUN RUN PARK REF:88641+1 MOUSE','35,00','35,00','07/12/2010 15:04:45','07/02/2013 01:15:08','N'
10,88637,'BRINQ.MUS. RUN RUN PARK REF:88637','85,40','113,26','07/12/2010 15:10:43','07/02/2013 01:15:08','N'
11,88636,'BRINQ.MUS. RUN RUN PARK REF:88636','148,47','148,47','07/12/2010 15:12:32','07/02/2013 01:15:08','N'
12,88635,'BRINQ.MUSICAL RUN RUN PARK REF:88635','82,37','109,71','07/12/2010 15:14:34','07/02/2013 01:15:08','N'
13,88630,'BRINQ.MUSICAL RUN RUN PARK REF:88630','82,66','110,05','07/12/2010 15:16:11','07/02/2013 01:15:08','N'
14,88622,'BRINQ.MUSICAL RUN RUN PARK REF:88622','57,99','58,00','07/12/2010 15:18:55','07/02/2013 01:15:08','N'
15,88621,'BRINQ.MUS. RUN RUN PARK REF:88621','69,00','69,00','07/12/2010 15:20:57','07/02/2013 01:15:08','N'
16,88620,'BRINQ.MUSI. RUN RUN PARK REF:88620','15,60','15,60','07/12/2010 15:21:57','07/02/2013 01:15:08','N'
17,'ZS021','PISTA SKATE DE DEDO REF:ZS021','55,28','55,28','12/12/2010 21:05:03','07/02/2013 01:15:08','N'
18,'ZS020','PISTA SKATE DE DEDO REF:ZS020','55,03','55,03','12/12/2010 21:05:58','07/02/2013 01:15:08','N'
19,9945,'PISTA SKATE DE DEDO REF:9945','55,45','55,45','12/12/2010 21:07:01','07/02/2013 01:15:08','N'
20,'ZS018E-1','BRINQ. SKATE DE DEDO REF:ZS018E-1','50,00','71,82','12/12/2010 21:08:22','07/02/2013 01:15:08','N'
21,2014,'PISTA SKATE DE DEDO REF:2014','44,78','66,42','12/12/2010 21:12:25','07/02/2013 01:15:08','N'
22,2012,'PISTA SKATE DE DEDO REF:2012','44,78','66,42','12/12/2010 21:14:12','07/02/2013 01:15:08','N'
23,2011,'PISTA SKATE DE DEDO REF:2011','44,26','65,75','12/12/2010 21:15:33','07/02/2013 01:15:08','N'
24,2010,'PISTA SKATE DE DEDO REF:2010','44,78','66,42','12/12/2010 21:18:52','07/02/2013 01:15:08','N'
25,9932,'PISTA SKATE DE DEDO REF:9932','122,68','156,07','12/12/2010 21:19:59','07/02/2013 01:15:08','N'
26,9930,'PISTA SKATE DE DEDO REF:9930','44,82','66,48','12/12/2010 21:20:48','07/02/2013 01:15:08','N'
27,'ZS008B','BRINQ. SKATE DE DEDO REF:ZS008B','44,78','66,49','12/12/2010 21:22:04','07/02/2013 01:15:08','N'
28,'ZS007B','BRINQ. SKATE DE DEDO REF:ZS007B','45,82','67,72','12/12/2010 21:23:12','07/02/2013 01:15:08','N'
29,'ZS006B','BRINQ. SKATE DE DEDO REF:ZS006B','45,14','67,01','12/12/2010 21:24:10','07/02/2013 01:15:08','N'
30,'ZS005B-2','BRINQ. SKATE DE DEDO REF:ZS005B-2','45,50','67,20','12/12/2010 21:25:13','07/02/2013 01:15:08','N'
31,2013,'PISTA SKATE DE DEDO REF:2013','121,49','154,60','12/12/2010 21:26:27','07/02/2013 01:15:08','N'
32,9935,'PISTA SKATE DE DEDO REF:9935','45,44','67,17','12/12/2010 21:27:25','07/02/2013 01:15:08','N'
965,'KA-9816A','CALCULADORA SHENG REF:KA-9816A','35,00','35,00','04/10/2012 18:13:36','07/02/2013 01:15:08','N'
33,9934,'PISTA SKATE DE DEDO REF:9934','108,39','139,64','12/12/2010 21:29:09','07/02/2013 01:15:08','N'
34,9933,'PISTA SKATE DE DEDO REF:9933','45,44','67,17','12/12/2010 21:29:54','07/02/2013 01:15:08','N'
35,'ZS111','BRINQUEDO CARRO FRICCAO REF:ZS111','45,02','66,56','12/12/2010 21:31:58','07/02/2013 01:15:08','N'
36,'ZS112ABCD','BRINQUEDO CARRO FRICCAO REF:ZS112ABCD','44,91','66,67','12/12/2010 21:33:09','07/02/2013 01:15:08','N'
37,'ZS022','PISTA SKATE DE DEDO REF:ZS022','44,73','66,48','12/12/2010 21:34:03','07/02/2013 01:15:08','N'
38,'ZS023','BRINQ.SKATE DE DEDO REF:ZS023','30,03','30,03','12/12/2010 21:35:19','07/02/2013 01:15:08','N'
39,'ZS128','BRINQ. SKATE DE DEDO REF:ZS128','23,86','45,18','12/12/2010 21:36:06','07/02/2013 01:15:08','N'
40,'ZS145','BRINQ. SKATE DE DEDO REF:ZS145','77,20','103,58','12/12/2010 21:36:54','07/02/2013 01:15:08','N'
41,'ZS129','BRINQ. SKATE DE DEDO REF:ZS129','55,15','55,15','12/12/2010 21:37:38','07/02/2013 01:15:08','N'
42,'ZS024-1','BRINQ. SKATE DE DEDO REF:ZS024-1','35,68','35,68','12/12/2010 21:38:38','07/02/2013 01:15:08','N'
43,'666-210-227-AB','BRINQ. CARRO CONT REM. REF:666-210-227-AB','55,21','55,21','12/12/2010 21:43:30','07/02/2013 01:15:08','N'
44,'666-261-269-ABC','BRIN. CARRO CONT REM. REF:666-261-269-ABC','55,28','55,28','12/12/2010 21:46:16','07/02/2013 01:15:08','N'
45,'666-183-196-AB','BRIN. CARRO CONT REM. REF:666-183-196-AB','55,24','55,24','12/12/2010 21:47:58','07/02/2013 01:15:08','N'
46,'666-251/2/4/6','BRINQ. CARRO CONT REM. REF:666-251/2/4/6','55,25','55,25','12/12/2010 21:49:32','07/02/2013 01:15:08','N'
47,'666-153/154','BRINQ. CARRO CONT REM. REF:666-153/154','55,23','55,23','12/12/2010 21:52:42','07/02/2013 01:15:08','N'
48,'666-105-148/AB','BRINQ. CARROCONT REM. REF:666-105-148/AB','55,23','55,23','12/12/2010 21:54:37','07/02/2013 01:15:08','N'
49,'333-737B,,755/A','BRINQUEDO CARRO CONT REM. REF:333-737B,,755/A','55,24','55,24','12/12/2010 21:56:50','07/02/2013 01:15:08','N'
50,'333-710B-722/AB','BRINQUEDO CARRO CONT REM. REF:333-710B-722/AB','55,22','55,22','12/12/2010 21:58:28','07/02/2013 01:15:08','N'
51,'333-702B/4B/5B/','BRINQUEDO CARRO CONT REM. REF:333-702B/4B/5B/','55,24','55,24','12/12/2010 22:00:50','07/02/2013 01:15:08','N'
52,'333-562BC/564BC','BRIN. CARRO CONT REM. REF:333-562BC/564BC','55,13','55,13','12/12/2010 22:02:54','07/02/2013 01:15:08','N'
53,'333-783B/5B/7B/','BRINQUEDO CARRO CONT REM. REF:333-783B/5B/7B/ C','119,14','119,14','12/12/2010 22:07:54','07/02/2013 01:15:08','N'
54,'333-500B/504B/5','BRINQUEDO CARRO CONT REM. REF:333-500B/504B/5','55,23','55,23','12/12/2010 22:09:36','07/02/2013 01:15:08','N'
55,'735-75B','BRINQUEDO HELIC.CONT.REM. REF:735-75B','55,24','55,24','12/12/2010 22:11:22','07/02/2013 01:15:08','N'
56,'735-80A','BRINQUEDO HELIC.CONT.REM. REF:735-80A','55,24','55,24','12/12/2010 22:12:36','07/02/2013 01:15:08','N'
57,'735-75B-HEL','PECAS REP. HELICES REF:735-75B-HEL CX-10PCS','0,00','0,00','12/12/2010 22:14:39','07/02/2013 01:15:08','N'
58,'735-75B HEL','PECAS REP. HELICES REF:735-75B HEL CX-10PCS','36,52','36,52','12/12/2010 22:15:27','07/02/2013 01:15:08','N'
59,'735-80A HEL','PECAS REP. HELICES REF:735-80A HEL CX-20PCS','35,00','35,00','12/12/2010 22:16:13','07/02/2013 01:15:08','N'
60,666,'PECAS REP. BATERIA REF:666 CX-50PCS','0,00','0,00','12/12/2010 22:17:07','07/02/2013 01:15:08','N'
61,333,'PECAS REP. BATERIA REF:333 CX-40PCS','0,00','0,00','12/12/2010 22:17:36','07/02/2013 01:15:08','N'
62,'986-A','BRINQ. MINI REG.INF. REF:986-A','55,20','55,20','12/12/2010 22:19:36','07/02/2013 01:15:08','N'
63,'986B','BRINQ. MINI REG.INF, REF:986B','244,47','296,08','12/12/2010 22:20:14','07/02/2013 01:15:08','N'
64,976,'BRINQ. MINI REG.INF. REF:976','244,39','295,93','12/12/2010 22:20:51','07/02/2013 01:15:08','N'
65,'986-C','BRINQ. MINI REG. INF. REF:986-C','244,27','295,87','12/12/2010 22:21:23','07/02/2013 01:15:08','N'
66,'LF428B','BRINQ. MUSIC INF. REF:LF428B','244,24','295,85','12/12/2010 22:22:49','07/02/2013 01:15:08','N'
67,'328AB','BRIN. MUSIC INF. REF:328AB','244,74','296,24','12/12/2010 22:23:25','07/02/2013 01:15:08','N'
68,'LF528ABCD','BRINQ. MUSIC INFANTIL REF:LF528ABCD','55,02','55,02','12/12/2010 22:24:04','07/02/2013 01:15:08','N'
69,'629B','BRINQUEDO MINI CARRO FRIC REF:629B','244,35','296,00','12/12/2010 22:25:49','07/02/2013 01:15:08','N'
